annotator_a,annotator_b,bout_precision_mean,bout_recall_mean,bout_f1_mean,mean_matched_iou,total_true_bouts,total_pred_bouts
annotator1,annotator2,0.49474607369022827,0.4862089185502458,0.7537181511875509,0.8537543078590213,822,774
annotator1,annotator3,0.47228041017198563,0.5046823643610721,0.7545740033597036,0.8507306564922478,822,860
annotator1,annotator4,0.4419856601602343,0.4867497475773719,0.712522995762225,0.8477763754246438,822,868
annotator1,annotator5,0.32261481104818046,0.35732933302830433,0.6482645420371722,0.8234389519498435,822,878
annotator1,annotator6,0.46460364419832945,0.5030183213514022,0.7419670556258369,0.8682038666738101,822,928
annotator1,annotator7,0.49681820232118606,0.25604868789602914,0.5260833694495791,0.867124446977489,822,340
annotator1,annotator8,0.48558239290110045,0.4133096710208694,0.6909253274463392,0.7869655518593348,822,646
annotator2,annotator3,0.4952973841824252,0.5355554509151033,0.7521489785751027,0.8602009369088023,774,860
annotator2,annotator4,0.48787793733418244,0.5437432075921533,0.751719159597716,0.8554207202263321,774,868
annotator2,annotator5,0.3277642678184365,0.3593428402436261,0.6151156425930313,0.8083124372484958,774,878
annotator2,annotator6,0.48702883179939527,0.5419643374107268,0.7570764564549836,0.8486256317171471,774,928
annotator2,annotator7,0.564860865843922,0.31114577186042536,0.5780676464906199,0.8517638500895313,774,340
annotator2,annotator8,0.526534949407497,0.45894115835281823,0.7244400513831845,0.8126856451401713,774,646
annotator3,annotator4,0.4756263767509258,0.5006538245095707,0.726062048331008,0.8532588179111643,860,868
annotator3,annotator5,0.3302700353447233,0.34130184054915225,0.562272893201128,0.8106941416497,860,878
annotator3,annotator6,0.48650290115540795,0.5108704495373366,0.7294428457267054,0.8587889534159081,860,928
annotator3,annotator7,0.5388806879434545,0.27239752503083425,0.5228504886024592,0.8913052014909536,860,340
annotator3,annotator8,0.5238271522123874,0.4257721825703795,0.69971320398332,0.8035301110532811,860,646
annotator4,annotator5,0.3222781448201444,0.3413605026981668,0.5917971814592281,0.8059829908686457,868,878
annotator4,annotator6,0.4986034615101873,0.5029511738807261,0.7362114589805063,0.8596429116868157,868,928
annotator4,annotator7,0.5518141765562908,0.25546818019859074,0.5102285292220187,0.8508357570505104,868,340
annotator4,annotator8,0.49964208074367344,0.38556089065631105,0.647277035322768,0.7972217354717787,868,646
annotator5,annotator6,0.33821631649171774,0.333495805700366,0.6471656158685001,0.8156751708180393,878,928
annotator5,annotator7,0.3559265010351967,0.1827084109518028,0.3941996429523916,0.8351607303598277,878,340
annotator5,annotator8,0.3425060745497093,0.26881234333680565,0.5362606192247302,0.7562580540644194,878,646
annotator6,annotator7,0.538928038606747,0.2742940294472686,0.5191503274581463,0.867013164280109,928,340
annotator6,annotator8,0.5159375094019665,0.4069224393806366,0.6736516056559885,0.7965915525564102,928,646
annotator7,annotator8,0.32502504701873475,0.5140544075923446,0.602652353498808,0.8463976142829054,340,646
